Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Home Team Initials,Away Team Initials
1986,6/4/1986,Group E,Scotland,0,1,Denmark, ,SCO,DEN
1986,6/4/1986,Group E,Uruguay,1,1,Germany, ,URU,GER
1986,6/5/1986,Group A,Italy,1,1,Argentina, ,ITA,ARG
1986,6/5/1986,Group C,France,1,1,Soviet Union, ,FRA,URS
1986,6/5/1986,Group A,Korea Republic,1,1,Bulgaria, ,KOR,BUL
1986,6/6/1986,Group C,Hungary,2,0,Canada, ,HUN,CAN
1986,6/6/1986,Group D,Brazil,1,0,Algeria, ,BRA,ALG
1986,6/6/1986,Group F,England,0,0,Morocco, ,ENG,MAR
1986,6/7/1986,Group D,Northern Ireland,1,2,Spain, ,NIR,ESP
1986,6/7/1986,Group B,Mexico,1,1,Paraguay, ,MEX,PAR
1986,6/7/1986,Group F,Poland,1,0,Portugal, ,POL,POR
1986,6/8/1986,Group B,Iraq,1,2,Belgium, ,IRQ,BEL
1986,6/8/1986,Group E,Denmark,6,1,Uruguay, ,DEN,URU
1986,6/8/1986,Group E,Germany,2,1,Scotland, ,GER,SCO
1986,6/9/1986,Group C,Hungary,0,3,France, ,HUN,FRA
1986,6/9/1986,Group C,Soviet Union,2,0,Canada, ,URS,CAN
1986,6/10/1986,Group A,Korea Republic,2,3,Italy, ,KOR,ITA
1986,6/10/1986,Group A,Argentina,2,0,Bulgaria, ,ARG,BUL
1986,6/11/1986,Group B,Paraguay,2,2,Belgium, ,PAR,BEL
1986,6/11/1986,Group B,Iraq,0,1,Mexico, ,IRQ,MEX
1986,6/11/1986,Group F,Portugal,1,3,Morocco, ,POR,MAR
1986,6/11/1986,Group F,England,3,0,Poland, ,ENG,POL
1986,6/12/1986,Group D,Northern Ireland,0,3,Brazil, ,NIR,BRA
1986,6/12/1986,Group D,Algeria,0,3,Spain, ,ALG,ESP
1986,6/13/1986,Group E,Scotland,0,0,Uruguay, ,SCO,URU
1986,6/13/1986,Group E,Denmark,2,0,Germany, ,DEN,GER
1986,6/15/1986,Round of 16,Soviet Union,3,4,Belgium,Belgium win after extra time ,URS,BEL
1986,6/15/1986,Round of 16,Mexico,2,0,Bulgaria, ,MEX,BUL
1986,6/16/1986,Round of 16,Argentina,1,0,Uruguay, ,ARG,URU
1986,6/16/1986,Round of 16,Brazil,4,0,Poland, ,BRA,POL
1986,6/17/1986,Round of 16,Italy,0,2,France, ,ITA,FRA
1986,6/17/1986,Round of 16,Morocco,0,1,Germany, ,MAR,GER
1986,6/18/1986,Round of 16,England,3,0,Paraguay, ,ENG,PAR
1986,6/18/1986,Round of 16,Denmark,1,5,Spain, ,DEN,ESP
1986,6/21/1986,Quarter-finals,Brazil,1,1,France,France win on penalties (3 - 4) ,BRA,FRA
1986,6/21/1986,Quarter-finals,Germany,0,0,Mexico,Germany FR win on penalties (4 - 1) ,GER,MEX
1986,6/22/1986,Quarter-finals,Spain,1,1,Belgium,Belgium win on penalties (4 - 5) ,ESP,BEL
1986,6/22/1986,Quarter-finals,Argentina,2,1,England, ,ARG,ENG
1986,6/25/1986,Semi-finals,France,0,2,Germany, ,FRA,GER
1986,6/25/1986,Semi-finals,Argentina,2,0,Belgium, ,ARG,BEL
1986,6/28/1986,Third place,France,4,2,Belgium,France win after extra time ,FRA,BEL
1986,6/29/1986,Final,Argentina,3,2,Germany, ,ARG,GER
1990,6/8/1990,Group B,Argentina,0,1,Cameroon, ,ARG,CMR
1990,6/9/1990,Group B,Soviet Union,0,2,Romania, ,URS,ROU
1990,6/9/1990,Group D,United Arab Emirates,0,2,Colombia, ,UAE,COL
1990,6/9/1990,Group A,Italy,1,0,Austria, ,ITA,AUT
1990,6/10/1990,Group A,USA,1,5,Czechoslovakia, ,USA,TCH
1990,6/10/1990,Group C,Brazil,2,1,Sweden, ,BRA,SWE
